site_numbet,site_sql_id,site_name,LAT,LON,COMMENT,GAGETAG,Elevation,ElevationComment
000_temporary / spare,1531,Temporary Project Equipment Holding Site,,,for assigning equipment to projects without station ID,Stream Gauge(Recording),,
01B,1182,Ames Creek in Snoqualmie Valley,47.68677,-121.983,Upstream side of NE 100th St Alternate 1,Metro Lab Sample Site,,
02L,740,Cottage Creek at NE 159th ST,47.74293,-122.084,,Stream Gauge(Recording),225,from topo
02M,1273,Struve Creek,47.73319,-122.065,,Stream Gauge(Recording),190,iMap 5' contours
02M2,1277,Struve Creek North Fork 0131,47.73343,-122.06,,Stream Gauge(Recording),245,iMap 5' contours
02Q,1275,Mackey Creek,47.69412,-122.091,,Stream Gauge(Recording),66.29,"survey, NAVD88"
02Q_Pond,2076,NE 106th Beaver Pond,47.69406,-122.091,Risk Management Grant,Stream Gauge(Recording),,
02R,1461,Bear Creek at RM2.1 in Friendly Village Mobile Home Park,47.68293,-122.093,for Bear Creek basin plan 2014,Stream Gauge(Recording),50,from iMap 5' contours
02VN,1270,"Trilogy North Rain Gauge, Bear - Evans Watershed",47.71939,-122.028,Replace 02V,Precipitation Gauge(Recording),427,from imap 5' contours
02a,41,Bear Creek @ Union Hill RD,47.67505,-122.107,snapped to GPS,Stream Gauge(Recording),33.28,"original USGS datum, NGVD 1929, brought forward with simultaneous measurements at new upstream locat"
02e,45,"Bear Creek at 133rd ST NE, near Redmond",47.71768,-122.077,snapped to GPS,Stream Gauge(Recording),117,FT (NGVD88) - CLD from KC GIS Lidar
02f,46,Bear Creek @ Woodinville-Duvall Rd,47.7549,-122.055,,Stream Gauge(Recording),,
02f2,855,Bear Creek at NE 162,47.74493,-122.063,,Stream Gauge(Recording),203,imap
02g,47,"Cottage Lake Creek at Avondale RD NE, Bear-Evans Watershed",47.7167,-122.088,Gage moved 300 feet down stream in 2000,Stream Gauge(Recording),,
02w,52,"Cottage Lake Rain Gauge, Bear - Evans Watershed",47.75758,-122.08,snapped to GPS,Precipitation Gauge(Recording),,
